audit_id	series_id	observation_id	affinity_extreme	source_replicate_index	consensus_pKd	consensus_source_Kd_nM	ligand_inchikey	canonical_smiles	publication_id	target_class	publication_era	site_reference_pdb_id	site_reference_ligand_comp_id	bindingdb_BindingDB Reactant_set_id	bindingdb_BindingDB Ligand Name	bindingdb_Target Name	bindingdb_Kd (nM)	bindingdb_pH	bindingdb_Temp (C)	bindingdb_Curation/DataSource	bindingdb_Article DOI	bindingdb_PMID	bindingdb_Authors	bindingdb_Institution	bindingdb_Date of publication	bindingdb_PDB ID(s) for Ligand-Target Complex
G3AUD-012	G3S-532f119ff68b2182	G3S-532f119ff68b2182-L0010	lowest_pKd	1	7.15490195999	70	ROJBUFVFGMELNB-UHFFFAOYSA-N	C=CCn1cc(CSC[C@H]2CN(Cc3c[nH]c4c(N)ncnc34)C[C@@H]2O)nn1	doi:10.1021/acs.jmedchem.8b01642	metabolic_enzyme	2017-2023	6DYZ	OS2	51247445	CHEMBL4555970	S-methyl-5'-thioadenosine phosphorylase	 70			ChEMBL	10.1021/acs.jmedchem.8b01642	30860833	Harijan, RK; Hoff, O; Ducati, RG; Firestone, RS; Hirsch, BM; Evans, GB; Schramm, VL; Tyler, PC	Albert Einstein College of Medicine	4/11/2019	
G3AUD-013	G3S-532f119ff68b2182	G3S-532f119ff68b2182-L0007	highest_pKd	1	9.20065945055	0.63	MQJBNGGMAUMWEV-UHFFFAOYSA-N	C#CCSC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O	doi:10.1021/acs.jmedchem.8b01642	metabolic_enzyme	2017-2023	6DYZ	OS2	51247452	CHEMBL4445386	S-methyl-5'-thioadenosine phosphorylase	 0.630000			ChEMBL	10.1021/acs.jmedchem.8b01642	30860833	Harijan, RK; Hoff, O; Ducati, RG; Firestone, RS; Hirsch, BM; Evans, GB; Schramm, VL; Tyler, PC	Albert Einstein College of Medicine	4/11/2019	6DYU,6DYZ
G3AUD-014	G3S-61544361ce31eac2	G3S-61544361ce31eac2-L0007	lowest_pKd	1	5.92081875395	1200	JJMCCZLIAMHGME-UHFFFAOYSA-N	O=C(NCC(c1ccccc1)n1ccnc1)c1cnc[nH]1	doi:10.1016/j.chembiol.2007.10.011	membrane_monooxygenase	2000-2009	2WX2	TPF	153414	Azole, 5	Sterol 14-alpha demethylase	 1.2e+3	6.0000		Curated from the literature by BindingDB	10.1016/j.chembiol.2007.10.011	18022567	Lepesheva, GI; Ott, RD; Hargrove, TY; Kleshchenko, YY; Schuster, I; Nes, WD; Hill, GC; Villalta, F; Waterman, MR	Vanderbilt University	11/28/2007	
G3AUD-015	G3S-61544361ce31eac2	G3S-61544361ce31eac2-L0016	highest_pKd	1	7.69897000434	20	XMAYWYJOQHXEEK-UHFFFAOYSA-N	CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	doi:10.1016/j.chembiol.2007.10.011	membrane_monooxygenase	2000-2009	2WX2	TPF	153428	24F2-1,25(OH)D3::Ketoconazole (k)::KTZ::1-[4-(4-{[(2R,4S)-2-(2,4-dichlorophenyl)-2-(1H-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)piperazin-1-yl]ethan-1-one::CHEMBL75::Ketoconazole::US9138393, Ketoconozole::US9144538, Ketoconozole	Sterol 14-alpha demethylase	 2e+1	6.0000		Curated from the literature by BindingDB	10.1016/j.chembiol.2007.10.011	18022567	Lepesheva, GI; Ott, RD; Hargrove, TY; Kleshchenko, YY; Schuster, I; Nes, WD; Hill, GC; Villalta, F; Waterman, MR	Vanderbilt University	11/28/2007	3LD6,3OZW,5LI8,6AYB
G3AUD-016	G3S-7e32e8326784c5b1	G3S-7e32e8326784c5b1-L0004	lowest_pKd	1	5.22184874962	6000	MMPAUEYGBUIXOO-UHFFFAOYSA-N	CCOc1c(OC)cc([N+](=O)[O-])cc1[C@@H]1N(C)C(=O)[C@H](C)N1C(=O)COc1ccc2c(N3CCOCC3)cc(OC)c(CC(=O)O)c2n1	pmid:38894924	ubiquitin_ligase_regulatory_domain	2024-2026	8VW5	A1AD4	51594337	CHEMBL5573288	E3 ubiquitin-protein ligase CBL-B	 6000			ChEMBL		38894924	Liang, J; Lambrecht, MJ; Arenzana, TL; Aubert-Nicol, S; Bao, L; Broccatelli, F; Cai, J; Eidenschenk, C; Everett, C; Garner, T; Gruber, F; Haghshenas, P; Huestis, MP; Hsu, PL; Kou, P; Jakalian, A; Larouche-Gauthier, R; Leclerc, JP; Leung, DH; Martin, A; Murray, J; Prangley, M; Rutz, S; Kakiuchi-Kiyota, S; Satz, AL; Skelton, NJ; Steffek, M; Stoffler, D; Sudhamsu, J; Tan, S; Wang, J; Wang, S; Wang, Q; Wendorff, TJ; Wichert, M; Yadav, A; Yu, C; Wang, X	Genentech	//0	
G3AUD-017	G3S-7e32e8326784c5b1	G3S-7e32e8326784c5b1-L0007	highest_pKd	1	7.35654732351	44	SYFREUZGPARRRF-UHFFFAOYSA-N	COc1ccc2ccc(OCC(=O)N3[C@@H](C)c4cccc(=O)n4[C@H]3c3cc([N+](=O)[O-])ccc3C)nc2c1CC(=O)O	pmid:38894924	ubiquitin_ligase_regulatory_domain	2024-2026	8VW5	A1AD4	51594340	CHEMBL5562908	E3 ubiquitin-protein ligase CBL-B	 44			ChEMBL		38894924	Liang, J; Lambrecht, MJ; Arenzana, TL; Aubert-Nicol, S; Bao, L; Broccatelli, F; Cai, J; Eidenschenk, C; Everett, C; Garner, T; Gruber, F; Haghshenas, P; Huestis, MP; Hsu, PL; Kou, P; Jakalian, A; Larouche-Gauthier, R; Leclerc, JP; Leung, DH; Martin, A; Murray, J; Prangley, M; Rutz, S; Kakiuchi-Kiyota, S; Satz, AL; Skelton, NJ; Steffek, M; Stoffler, D; Sudhamsu, J; Tan, S; Wang, J; Wang, S; Wang, Q; Wendorff, TJ; Wichert, M; Yadav, A; Yu, C; Wang, X	Genentech	//0	
G3AUD-018	G3S-82d2cb1cb942342d	G3S-82d2cb1cb942342d-L0012	lowest_pKd	1	4.13966199343	72500	LHXWUVBOCOFXIJ-UHFFFAOYSA-N	COC(=O)c1c(O)cc(O)c(Cl)c1CCc1nccn1Cc1ccc(C)cc1OC	doi:10.1021/acs.jmedchem.6b00085	molecular_chaperone	2010-2016	5VYY	9QY	50496302	CHEMBL3805792	Heat shock protein HSP 90-alpha	 72500			ChEMBL	10.1021/acs.jmedchem.6b00085	27003516	Crowley, VM; Khandelwal, A; Mishra, S; Stothert, AR; Huard, DJ; Zhao, J; Muth, A; Duerfeldt, AS; Kizziah, JL; Lieberman, RL; Dickey, CA; Blagg, BS	The University of Kansas	4/15/2016	
G3AUD-019	G3S-82d2cb1cb942342d	G3S-82d2cb1cb942342d-L0007	highest_pKd	1	6.61978875829	240	FNMCPKMNNWNMIZ-UHFFFAOYSA-N	COC(=O)c1c(O)cc(O)c(Cl)c1CCc1nccn1Cc1ccccc1OC(C)C	doi:10.1021/acs.jmedchem.6b00085	molecular_chaperone	2010-2016	5VYY	9QY	50496299	CHEMBL3805415	Heat shock protein HSP 90-alpha	 240			ChEMBL	10.1021/acs.jmedchem.6b00085	27003516	Crowley, VM; Khandelwal, A; Mishra, S; Stothert, AR; Huard, DJ; Zhao, J; Muth, A; Duerfeldt, AS; Kizziah, JL; Lieberman, RL; Dickey, CA; Blagg, BS	The University of Kansas	4/15/2016	
G3AUD-020	G3S-83ba16a2ad335359	G3S-83ba16a2ad335359-L0004	lowest_pKd	1	4.35654732351	44000	LCAKFHXFWLOMOH-UHFFFAOYSA-N	c1ccc(N2CCC(N3CCCC3)CC2)cc1	doi:10.1039/c3md00197k	methyllysine_reader	2010-2016	4L59	1VZ	51208604	CHEMBL3134141	Lethal(3)malignant brain tumor-like protein 3	 44000			ChEMBL	10.1039/c3md00197k	24466405	Camerino, MA; Zhong, N; Dong, A; Dickson, BM; James, LI; Baughman, BM; Norris, JL; Kireev, DB; Janzen, WP; Arrowsmith, CH; Frye, SV	University of North Carolina	11/28/2013	
G3AUD-021	G3S-83ba16a2ad335359	G3S-83ba16a2ad335359-L0007	highest_pKd	1	6.39794000867	400	UQWZXIGMFNPJOM-UHFFFAOYSA-N	OCC1(CO)CN(CCc2ccc(N3CCC(N4CCCC4)CC3)cc2)C1	doi:10.1039/c3md00197k	methyllysine_reader	2010-2016	4L59	1VZ	51208573	CHEMBL3134146	Lethal(3)malignant brain tumor-like protein 3	 400			ChEMBL	10.1039/c3md00197k	24466405	Camerino, MA; Zhong, N; Dong, A; Dickson, BM; James, LI; Baughman, BM; Norris, JL; Kireev, DB; Janzen, WP; Arrowsmith, CH; Frye, SV	University of North Carolina	11/28/2013	
G3AUD-022	G3S-b6b157cccce7111a	G3S-b6b157cccce7111a-L0006	lowest_pKd	1	5.56863623584	2700	PNFMVADNCOGWME-UHFFFAOYSA-N	CCN(CCN(C)C)C(=O)CNCc1cc(C(N)=O)ccn1	doi:10.1021/acs.jmedchem.8b00261	histone_demethylase	2017-2023	5V9T	90V	50765789	KDOAM-25	Lysine-specific demethylase 5A	 2700			ChEMBL	10.1021/acs.jmedchem.8b00261	29537847	Horton, JR; Liu, X; Wu, L; Zhang, K; Shanks, J; Zhang, X; Rai, G; Mott, BT; Jansen, DJ; Kales, SC; Henderson, MJ; Pohida, K; Fang, Y; Hu, X; Jadhav, A; Maloney, DJ; Hall, MD; Simeonov, A; Fu, H; Vertino, PM; Yan, Q; Cheng, X	The University of Texas M.D. Anderson Cancer Center	4/12/2018	5A3N,5IWF
G3AUD-023	G3S-b6b157cccce7111a	G3S-b6b157cccce7111a-L0002	highest_pKd	1	6.82390874094	150	FLCRYTPTFPDXRU-UHFFFAOYSA-N	CN1CCCC1CCOC(c1cc2nccc(C(=O)O)c2[nH]1)c1ccccc1Cl	doi:10.1021/acs.jmedchem.8b00261	histone_demethylase	2017-2023	5V9T	90V	50765760	CHEMBL4081571	Lysine-specific demethylase 5A	 150			ChEMBL	10.1021/acs.jmedchem.8b00261	29537847	Horton, JR; Liu, X; Wu, L; Zhang, K; Shanks, J; Zhang, X; Rai, G; Mott, BT; Jansen, DJ; Kales, SC; Henderson, MJ; Pohida, K; Fang, Y; Hu, X; Jadhav, A; Maloney, DJ; Hall, MD; Simeonov, A; Fu, H; Vertino, PM; Yan, Q; Cheng, X	The University of Texas M.D. Anderson Cancer Center	4/12/2018	
G3AUD-024	G3S-e36179cfc1b7610c	G3S-e36179cfc1b7610c-L0007	lowest_pKd	1	7.58502665203	26	KCWOIBDNAYKHIF-UHFFFAOYSA-N	Nc1nc(N2CCC3(CC2)Cc2ccncc2[C@H]3N)cnc1Sc1ccnc(N)c1Cl	pmid:39110625	protein_tyrosine_phosphatase	2024-2026	8WX7	XD8	51603369	CHEMBL4752704	Tyrosine-protein phosphatase non-receptor type 11	 26			ChEMBL		39110625	Ma, C; Kang, D; Gao, P; Zhang, W; Wu, X; Xu, Z; Han, H; Zhang, L; Cai, Y; Wang, Y; Wang, Y; Long, W	Jacobio Pharmaceuticals	//0	
G3AUD-025	G3S-e36179cfc1b7610c	G3S-e36179cfc1b7610c-L0003	highest_pKd	1	9.43179827593	0.37	GKGIGIUNYOFYHZ-UHFFFAOYSA-N	Nc1nccc(Sc2cnc(N3CCC4(CC3)Cc3ncccc3[C@H]4N)cn2)c1Cl	pmid:39110625	protein_tyrosine_phosphatase	2024-2026	8WX7	XD8	51603376	CHEMBL5595838	Tyrosine-protein phosphatase non-receptor type 11	 0.370000			ChEMBL		39110625	Ma, C; Kang, D; Gao, P; Zhang, W; Wu, X; Xu, Z; Han, H; Zhang, L; Cai, Y; Wang, Y; Wang, Y; Long, W	Jacobio Pharmaceuticals	//0	
