panel	compound_id	name	reported_smiles	reported_inchikey	computed_inchikey	structure_roundtrip_exact	single_covalent_component	exact_davis_parent_overlap	exact_davis_murcko_overlap	maximum_davis_morgan2_tanimoto	eligibility_status
OKL2026	HMSL11762	PIMASERTIB	O=C(NC[C@H](O)CO)c1ccncc1Nc1ccc(I)cc1F	VIUAUNHCRHHYNE-JTQLQIEISA-N	VIUAUNHCRHHYNE-JTQLQIEISA-N	true	true	false	false	0.28571429	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10222	DACOMITINIB	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1	LVXJQMNHJWSHET-AATRIKPKSA-N	LVXJQMNHJWSHET-AATRIKPKSA-N	true	true	false	false	0.60227273	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10156	JNJ-38877605	Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1	JRWCBEOAFGHNNU-UHFFFAOYSA-N	JRWCBEOAFGHNNU-UHFFFAOYSA-N	true	true	false	false	0.65079365	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL12154	PD-407824	O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21	IAUZTOZLTFSMIE-UHFFFAOYSA-N	IAUZTOZLTFSMIE-UHFFFAOYSA-N	true	true	false	false	0.19444444	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10685	COBIMETINIB	O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1	BSMCAPRUBJMWDF-KRWDZBQOSA-N	BSMCAPRUBJMWDF-KRWDZBQOSA-N	true	true	false	false	0.40259740	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10032	SARACATINIB	CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1	OUKYUETWWIPKQR-UHFFFAOYSA-N	OUKYUETWWIPKQR-UHFFFAOYSA-N	true	true	false	false	0.32323232	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12076	GSK-2606414	Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21	SIXVRXARNAVBTC-UHFFFAOYSA-N	SIXVRXARNAVBTC-UHFFFAOYSA-N	true	true	false	false	0.21428571	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12068	I-BET726	CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C	FAWSUKOIROHXAP-NPMXOYFQSA-N	FAWSUKOIROHXAP-NPMXOYFQSA-N	true	true	false	false	0.24418605	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10338	IPATASERTIB	CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1	GRZXWCHAXNAUHY-NSISKUIASA-N	GRZXWCHAXNAUHY-NSISKUIASA-N	true	true	false	false	0.27551020	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10327	PFI-1	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2	TXZPMHLMPKIUGK-UHFFFAOYSA-N	TXZPMHLMPKIUGK-UHFFFAOYSA-N	true	true	false	false	0.25000000	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
