panel	name	machine_readable_structure_present	simple_name_overlap_with_davis	eligibility_status
KIRHub2026	Palbociclib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Paxalisib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Pazopanib	false	true	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Pemigatinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Pexidartinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Pirtobrutinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Ponatinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Pralsetinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Quizartinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Rabusertib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Regorafenib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Remibrutinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Repotrectinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Ribociclib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Ripretinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Ruxolitinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Selpercatinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Selumetinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Sirolimus	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Sorafenib	false	true	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Sunitinib	false	true	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Temsirolimus	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Tenalisib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Tepotinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Tivozanib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Tofacitinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Trametinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Tucatinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Umbralisib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Upadacitinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Vandetanib-Final	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Vemurafenib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Zanubrutinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
